Type,Library,Filename,Time (ms),Memory (byte),MemoryPeak (byte),AllocCount,FileSize (byte)
4. Statistics,JsonCpp (C++),twitter.json,0.935652,0,472,2336,0
1. Parse,JSON Spirit (C++),canada.json,63.247354,9362896,12105536,435431,0
1. Parse,JSON Spirit (C++),citm_catalog.json,45.286513,2975744,7741160,292597,0
1. Parse,JSON Spirit (C++),twitter.json,14.953155,1371088,3418936,80571,0
2. Stringify,JSON Spirit (C++),canada.json,88.638743,2251072,6445384,17,0
2. Stringify,JSON Spirit (C++),citm_catalog.json,6.728615,502080,1026376,1725,0
2. Stringify,JSON Spirit (C++),twitter.json,7.617052,944000,1992584,11267,0
3. Prettify,JSON Spirit (C++),canada.json,121.869895,8272224,16660840,18,0
3. Prettify,JSON Spirit (C++),citm_catalog.json,16.065098,2006864,4104024,1727,0
3. Prettify,JSON Spirit (C++),twitter.json,10.073216,1273152,3370312,11268,0
4. Statistics,JSON Spirit (C++),canada.json,1.507380,0,0,0,0
4. Statistics,JSON Spirit (C++),citm_catalog.json,0.457478,0,0,0,0
4. Statistics,JSON Spirit (C++),twitter.json,0.172447,0,0,0,0
1. Parse,hjiang JSON++ (C++),canada.json,144.856348,10032784,14534912,504610,0
1. Parse,hjiang JSON++ (C++),citm_catalog.json,44.364426,4808656,8263072,132013,0
1. Parse,hjiang JSON++ (C++),twitter.json,19.535658,2241024,3504080,57430,0
2. Stringify,hjiang JSON++ (C++),canada.json,270.506072,3979840,20113528,447434,0
2. Stringify,hjiang JSON++ (C++),citm_catalog.json,52.097490,946960,4836248,136557,0
2. Stringify,hjiang JSON++ (C++),twitter.json,19.040101,575712,3351256,50774,0
4. Statistics,hjiang JSON++ (C++),canada.json,2.607827,0,0,0,0
4. Statistics,hjiang JSON++ (C++),citm_catalog.json,0.767635,0,0,0,0
4. Statistics,hjiang JSON++ (C++),twitter.json,0.363279,0,0,0,0
1. Parse,juson (C),canada.json,35.285176,7361472,7361496,115044,0
1. Parse,juson (C),citm_catalog.json,6.150490,3006280,3006304,6050,0
1. Parse,juson (C),twitter.json,2.052738,1363264,1363264,1104,0
4. Statistics,juson (C),canada.json,0.839584,0,0,0,0
4. Statistics,juson (C),citm_catalog.json,0.423106,0,0,0,0
4. Statistics,juson (C),twitter.json,0.204278,0,0,0,0
1. Parse,Nlohmann (C++11),canada.json,54.978797,4893904,4894104,170267,0
1. Parse,Nlohmann (C++11),citm_catalog.json,15.025064,3476392,3476696,56018,0
1. Parse,Nlohmann (C++11),twitter.json,8.413659,1805016,1806184,27316,0
2. Stringify,Nlohmann (C++11),canada.json,14.691852,3932208,5898856,21,0
