Type,Library,Filename,Time (ms),Memory (byte),MemoryPeak (byte),AllocCount,FileSize (byte)
6. SaxStatistics,RapidJSON AutoUTF (C++),citm_catalog,7.369375,0,288,2,0
6. SaxStatistics,RapidJSON AutoUTF (C++),canada,11.319034,0,288,2,0
6. SaxStatistics,RapidJSON AutoUTF (C++),twitter,4.045226,0,608,4,0
1. Parse,RapidJSON FullPrec (C++),citm_catalog,4.153964,1114728,1122816,29,0
1. Parse,RapidJSON FullPrec (C++),canada,18.834278,2870912,3170152,61,0
1. Parse,RapidJSON FullPrec (C++),twitter,2.061650,786928,792728,25,0
2. Stringify,RapidJSON FullPrec (C++),citm_catalog,1.657939,567656,568200,24,0
2. Stringify,RapidJSON FullPrec (C++),canada,14.598431,2873400,2873944,28,0
2. Stringify,RapidJSON FullPrec (C++),twitter,1.204518,687928,688472,21,0
3. Prettify,RapidJSON FullPrec (C++),citm_catalog,2.340594,1915624,1916168,27,0
3. Prettify,RapidJSON FullPrec (C++),canada,17.025316,9697512,9698056,31,0
3. Prettify,RapidJSON FullPrec (C++),twitter,1.508442,1090648,1091192,22,0
4. Statistics,RapidJSON FullPrec (C++),citm_catalog,0.259082,0,0,0,0
4. Statistics,RapidJSON FullPrec (C++),canada,0.908273,0,0,0,0
4. Statistics,RapidJSON FullPrec (C++),twitter,0.138767,0,0,0,0
5. Sax Round-trip,RapidJSON FullPrec (C++),citm_catalog,4.974628,567656,568504,26,0
5. Sax Round-trip,RapidJSON FullPrec (C++),canada,33.314281,2873400,2874248,30,0
5. Sax Round-trip,RapidJSON FullPrec (C++),twitter,2.605685,687928,689080,25,0
6. SaxStatistics,RapidJSON FullPrec (C++),citm_catalog,3.598488,0,288,2,0
6. SaxStatistics,RapidJSON FullPrec (C++),canada,17.253275,0,288,2,0
6. SaxStatistics,RapidJSON FullPrec (C++),twitter,1.597952,0,608,4,0
1. Parse,RapidJSON Insitu (C++),citm_catalog,3.363423,1049168,1056968,26,0
1. Parse,RapidJSON Insitu (C++),canada,9.355283,2870912,3169864,59,0
1. Parse,RapidJSON Insitu (C++),twitter,1.269595,459128,464320,16,0
2. Stringify,RapidJSON Insitu (C++),citm_catalog,1.861435,567656,568200,24,0
2. Stringify,RapidJSON Insitu (C++),canada,14.478574,2873400,2873944,28,0
2. Stringify,RapidJSON Insitu (C++),twitter,1.314215,687928,688472,21,0
3. Prettify,RapidJSON Insitu (C++),citm_catalog,2.490403,1915624,1916168,27,0
3. Prettify,RapidJSON Insitu (C++),canada,16.461437,9697512,9698056,31,0
3. Prettify,RapidJSON Insitu (C++),twitter,1.477745,1090648,1091192,22,0
4. Statistics,RapidJSON Insitu (C++),citm_catalog,0.235753,0,0,0,0
